trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.7, 'e': 8.981449941034017e-08}",20,3,26.574583565081756,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 8.083304946930616e-08}",20,3,28.818706034119792,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 7.274974452237555e-08}",25,17,12.578981883387764,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 6.547477007013799e-08}",35,23,21.51362930793629,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.7, 'e': 5.89272930631242e-08}",20,14,10.683113828306418,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 5.3034563756811777e-08}",20,16,8.47739279548029,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.7, 'e': 4.77311073811306e-08}",30,6,44.86484663256246,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 4.295799664301754e-08}",20,0,30.14732255477231,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.7, 'e': 3.866219697871579e-08}",20,10,21.415965259674675,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 3.479597728084421e-08}",20,16,5.6414703712484116,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.7, 'e': 3.131637955275979e-08}",20,2,31.286891101865226,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 2.818474159748381e-08}",20,10,16.37870104933336,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 2.536626743773543e-08}",30,18,17.97496940727528,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.7, 'e': 2.282964069396189e-08}",20,15,9.779359169369771,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.7, 'e': 2.05466766245657e-08}",25,11,26.622507865691162,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 1.849200896210913e-08}",25,14,22.67236156989918,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 1.6642808065898218e-08}",25,3,32.484312412312654,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 1.4978527259308396e-08}",25,3,33.09922678246377,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 1.3480674533377557e-08}",20,0,25.645301594678088,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.7, 'e': 1.2132607080039802e-08}",20,14,10.558015766557912,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.7, 'e': 1.0919346372035822e-08}",35,22,23.85619591476999,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 9.82741173483224e-09}",30,17,27.888465167807702,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.7, 'e': 8.844670561349016e-09}",20,13,12.435013569743644,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
